"GpsTime","Y","X","Z","Pitch","Azimuth"
407107.280000,3289429.808196,276232.309256,539.767581,1.813083,-89.915659
407107.290000,3289429.809232,276231.639013,539.776845,1.810566,-89.906687
407107.300000,3289429.810283,276230.968787,539.786017,1.807959,-89.897659
407107.310000,3289429.811349,276230.298578,539.795097,1.805265,-89.888577
407107.320000,3289429.812432,276229.628385,539.804083,1.802486,-89.879446
407107.330000,3289429.813531,276228.958207,539.812977,1.799626,-89.870267
407107.340000,3289429.814649,276228.288045,539.821777,1.796686,-89.861045
407107.350000,3289429.815786,276227.617898,539.830484,1.793670,-89.851783
407107.360000,3289429.816944,276226.947764,539.839097,1.790580,-89.842484
407107.370000,3289429.818122,276226.277645,539.847616,1.787419,-89.833151
407107.380000,3289429.819322,276225.607538,539.856040,1.784190,-89.823787
407107.390000,3289429.820545,276224.937445,539.864370,1.780896,-89.814395
407107.400000,3289429.821793,276224.267363,539.872606,1.777539,-89.804980
407107.410000,3289429.823065,276223.597293,539.880746,1.774121,-89.795543
407107.420000,3289429.824363,276222.927234,539.888791,1.770647,-89.786088
407107.430000,3289429.825687,276222.257185,539.896741,1.767118,-89.776619
407107.440000,3289429.827040,276221.587147,539.904594,1.763538,-89.767138
407107.450000,3289429.828420,276220.917118,539.912352,1.759908,-89.757649
407107.460000,3289429.829831,276220.247098,539.920014,1.756233,-89.748155
407107.470000,3289429.831272,276219.577086,539.927579,1.752513,-89.738659
407107.480000,3289429.832745,276218.907083,539.935047,1.748753,-89.729164
407107.490000,3289429.834249,276218.237087,539.942419,1.744955,-89.719674
407107.500000,3289429.835788,276217.567098,539.949693,1.741122,-89.710192
407107.510000,3289429.837360,276216.897115,539.956870,1.737255,-89.700721
407107.520000,3289429.838968,276216.227139,539.963949,1.733359,-89.691264
407107.530000,3289429.840612,276215.557167,539.970930,1.729437,-89.681824
407107.540000,3289429.842294,276214.887201,539.977813,1.725489,-89.672405
407107.550000,3289429.844013,276214.217239,539.984597,1.721520,-89.663010
407107.560000,3289429.845771,276213.547281,539.991283,1.717532,-89.653642
407107.570000,3289429.847570,276212.877326,539.997870,1.713528,-89.644304
407107.580000,3289429.849409,276212.207374,540.004358,1.709511,-89.634999
407107.590000,3289429.851290,276211.537425,540.010746,1.705482,-89.625732
407107.600000,3289429.853214,276210.867477,540.017035,1.701446,-89.616504
407107.610000,3289429.855182,276210.197530,540.023224,1.697405,-89.607319
407107.620000,3289429.857194,276209.527584,540.029313,1.693361,-89.598180
407107.630000,3289429.859252,276208.857639,540.035301,1.689318,-89.589091
407107.640000,3289429.861357,276208.187693,540.041189,1.685277,-89.580054
407107.650000,3289429.863509,276207.517746,540.046975,1.681243,-89.571074
407107.660000,3289429.865710,276206.847799,540.052661,1.677216,-89.562152
407107.670000,3289429.867960,276206.177849,540.058245,1.673201,-89.553293
407107.680000,3289429.870261,276205.507897,540.063728,1.669200,-89.544499
407107.690000,3289429.872613,276204.837942,540.069109,1.665216,-89.535774
407107.700000,3289429.875017,276204.167984,540.074388,1.661251,-89.527121
407107.710000,3289429.877474,276203.498022,540.079564,1.657308,-89.518544
407107.720000,3289429.879986,276202.828055,540.084638,1.653390,-89.510044
407107.730000,3289429.882552,276202.158084,540.089609,1.649500,-89.501626
407107.740000,3289429.885175,276201.488107,540.094477,1.645640,-89.493293
407107.750000,3289429.887855,276200.818124,540.099242,1.641814,-89.485047
407107.760000,3289429.890593,276200.148135,540.103903,1.638023,-89.476893
407107.770000,3289429.893389,276199.478139,540.108460,1.634271,-89.468834
407107.780000,3289429.896246,276198.808135,540.112914,1.630560,-89.460872
407107.790000,3289429.899163,276198.138123,540.117263,1.626893,-89.453010
407107.800000,3289429.902142,276197.468103,540.121507,1.623273,-89.445253
407107.810000,3289429.905183,276196.798074,540.125647,1.619703,-89.437603
407107.820000,3289429.908289,276196.128035,540.129681,1.616185,-89.430063
407107.830000,3289429.911459,276195.457986,540.133611,1.612722,-89.422637
407107.840000,3289429.914694,276194.787927,540.137435,1.609317,-89.415328
407107.850000,3289429.917996,276194.117857,540.141153,1.605972,-89.408138
407107.860000,3289429.921365,276193.447774,540.144765,1.602690,-89.401072
407107.870000,3289429.924803,276192.777680,540.148271,1.599475,-89.394133
407107.880000,3289429.928309,276192.107573,540.151670,1.596328,-89.387323
407107.890000,3289429.931886,276191.437453,540.154963,1.593253,-89.380646
407107.900000,3289429.935535,276190.767320,540.158148,1.590251,-89.374105
407107.910000,3289429.939255,276190.097172,540.161227,1.587327,-89.367703
407107.920000,3289429.943049,276189.427009,540.164198,1.584483,-89.361444
407107.930000,3289429.946916,276188.756831,540.167061,1.581721,-89.355331
407107.940000,3289429.950859,276188.086638,540.169817,1.579044,-89.349366
407107.950000,3289429.954877,276187.416428,540.172464,1.576455,-89.343554
407107.960000,3289429.958973,276186.746201,540.175002,1.573956,-89.337897
407107.970000,3289429.963146,276186.075958,540.177432,1.571551,-89.332398
407107.980000,3289429.967397,276185.405696,540.179754,1.569242,-89.327061
407107.990000,3289429.971729,276184.735416,540.181966,1.567032,-89.321889
407108.000000,3289429.976141,276184.065117,540.184068,1.564923,-89.316885
407108.010000,3289429.980635,276183.394799,540.186061,1.562916,-89.312052
407108.020000,3289429.985210,276182.724462,540.187944,1.561008,-89.307390
407108.030000,3289429.989866,276182.054105,540.189718,1.559197,-89.302897
407108.040000,3289429.994603,276181.383729,540.191382,1.557481,-89.298572
407108.050000,3289429.999421,276180.713333,540.192936,1.555857,-89.294415
407108.060000,3289430.004320,276180.042918,540.194380,1.554325,-89.290424
407108.070000,3289430.009299,276179.372484,540.195715,1.552882,-89.286598
407108.080000,3289430.014358,276178.702030,540.196941,1.551527,-89.282936
407108.090000,3289430.019497,276178.031557,540.198056,1.550257,-89.279437
407108.100000,3289430.024716,276177.361065,540.199062,1.549070,-89.276099
407108.110000,3289430.030014,276176.690553,540.199959,1.547966,-89.272923
407108.120000,3289430.035392,276176.020021,540.200746,1.546941,-89.269905
407108.130000,3289430.040849,276175.349471,540.201423,1.545994,-89.267046
407108.140000,3289430.046385,276174.678900,540.201990,1.545123,-89.264345
407108.150000,3289430.052000,276174.008310,540.202448,1.544326,-89.261799
407108.160000,3289430.057693,276173.337701,540.202796,1.543601,-89.259409
407108.170000,3289430.063465,276172.667072,540.203035,1.542946,-89.257172
407108.180000,3289430.069315,276171.996424,540.203164,1.542360,-89.255089
407108.190000,3289430.075243,276171.325756,540.203183,1.541841,-89.253157
407108.200000,3289430.081249,276170.655069,540.203093,1.541386,-89.251376
407108.210000,3289430.087332,276169.984362,540.202893,1.540994,-89.249744
407108.220000,3289430.093492,276169.313636,540.202583,1.540662,-89.248261
407108.230000,3289430.099730,276168.642890,540.202164,1.540390,-89.246925
407108.240000,3289430.106045,276167.972125,540.201635,1.540174,-89.245736
407108.250000,3289430.112436,276167.301340,540.200997,1.540014,-89.244691
407108.260000,3289430.118905,276166.630535,540.200249,1.539907,-89.243790
407108.270000,3289430.125449,276165.959711,540.199391,1.539851,-89.243033
407108.280000,3289430.132070,276165.288867,540.198424,1.539845,-89.242417
407108.290000,3289430.138766,276164.618004,540.197347,1.539886,-89.241942
407108.300000,3289430.145538,276163.947121,540.196161,1.539973,-89.241606
407108.310000,3289430.152386,276163.276219,540.194864,1.540104,-89.241409
407108.320000,3289430.159310,276162.605297,540.193459,1.540277,-89.241349
407108.330000,3289430.166308,276161.934355,540.191944,1.540489,-89.241425
407108.340000,3289430.173381,276161.263394,540.190319,1.540740,-89.241637
407108.350000,3289430.180529,276160.592413,540.188584,1.541027,-89.241982
407108.360000,3289430.187752,276159.921412,540.186740,1.541348,-89.242460
407108.370000,3289430.195049,276159.250392,540.184787,1.541701,-89.243071
407108.380000,3289430.202420,276158.579352,540.182723,1.542085,-89.243812
407108.390000,3289430.209865,276157.908292,540.180551,1.542498,-89.244682
407108.400000,3289430.217384,276157.237213,540.178268,1.542937,-89.245681
407108.410000,3289430.224977,276156.566114,540.175876,1.543401,-89.246807
407108.420000,3289430.232642,276155.894995,540.173375,1.543888,-89.248060
407108.430000,3289430.240381,276155.223856,540.170764,1.544396,-89.249437
407108.440000,3289430.248193,276154.552698,540.168043,1.544923,-89.250939
407108.450000,3289430.256078,276153.881520,540.165213,1.545467,-89.252564
407108.460000,3289430.264035,276153.210323,540.162273,1.546027,-89.254310
407108.470000,3289430.272064,276152.539105,540.159223,1.546600,-89.256177
407108.480000,3289430.280166,276151.867868,540.156064,1.547185,-89.258164
407108.490000,3289430.288340,276151.196611,540.152796,1.547779,-89.260269
407108.500000,3289430.296585,276150.525334,540.149418,1.548381,-89.262492
407108.510000,3289430.304902,276149.854038,540.145930,1.548988,-89.264831
407108.520000,3289430.313290,276149.182722,540.142333,1.549600,-89.267285
407108.530000,3289430.321749,276148.511386,540.138626,1.550214,-89.269853
407108.540000,3289430.330279,276147.840030,540.134809,1.550828,-89.272534
407108.550000,3289430.338880,276147.168654,540.130884,1.551440,-89.275327
407108.560000,3289430.347552,276146.497258,540.126848,1.552049,-89.278231
407108.570000,3289430.356293,276145.825843,540.122703,1.552652,-89.281244
407108.580000,3289430.365105,276145.154408,540.118448,1.553247,-89.284366
407108.590000,3289430.373987,276144.482953,540.114084,1.553833,-89.287595
407108.600000,3289430.382939,276143.811478,540.109611,1.554408,-89.290931
407108.610000,3289430.391960,276143.139983,540.105027,1.554970,-89.294371
407108.620000,3289430.401050,276142.468468,540.100335,1.555517,-89.297916
407108.630000,3289430.410210,276141.796934,540.095532,1.556047,-89.301564
407108.640000,3289430.419438,276141.125379,540.090621,1.556558,-89.305313
407108.650000,3289430.428736,276140.453805,540.085599,1.557049,-89.309164
407108.660000,3289430.438101,276139.782210,540.080468,1.557516,-89.313114
407108.670000,3289430.447535,276139.110596,540.075228,1.557960,-89.317162
407108.680000,3289430.457037,276138.438962,540.069878,1.558377,-89.321308
407108.690000,3289430.466607,276137.767308,540.064418,1.558765,-89.325550
407108.700000,3289430.476245,276137.095634,540.058849,1.559124,-89.329888
407108.710000,3289430.485950,276136.423940,540.053171,1.559450,-89.334319
407108.720000,3289430.495723,276135.752226,540.047383,1.559743,-89.338844
407108.730000,3289430.505563,276135.080492,540.041485,1.559999,-89.343460
407108.740000,3289430.515469,276134.408738,540.035478,1.560218,-89.348168
407108.750000,3289430.525443,276133.736964,540.029361,1.560397,-89.352965
407108.760000,3289430.535482,276133.065170,540.023135,1.560535,-89.357850
407108.770000,3289430.545588,276132.393356,540.016800,1.560629,-89.362823
407108.780000,3289430.555761,276131.721522,540.010355,1.560677,-89.367882
407108.790000,3289430.565999,276131.049668,540.003800,1.560679,-89.373027
407108.800000,3289430.576303,276130.377794,539.997136,1.560631,-89.378255
407108.810000,3289430.586672,276129.705899,539.990362,1.560533,-89.383567
407108.820000,3289430.597107,276129.033985,539.983479,1.560381,-89.388960
407108.830000,3289430.607606,276128.362051,539.976486,1.560174,-89.394435
407108.840000,3289430.618171,276127.690097,539.969384,1.559911,-89.399989
407108.850000,3289430.628800,276127.018122,539.962172,1.559589,-89.405621
407108.860000,3289430.639494,276126.346128,539.954851,1.559207,-89.411331
407108.870000,3289430.650252,276125.674113,539.947421,1.558762,-89.417118
407108.880000,3289430.661074,276125.002078,539.939880,1.558253,-89.422979
407108.890000,3289430.671960,276124.330024,539.932231,1.557678,-89.428915
407108.900000,3289430.682910,276123.657949,539.924472,1.557034,-89.434924
407108.910000,3289430.693923,276122.985854,539.916603,1.556321,-89.441005
407108.920000,3289430.705000,276122.313738,539.908625,1.555536,-89.447156
407108.930000,3289430.716139,276121.641603,539.900538,1.554677,-89.453378
407108.940000,3289430.727342,276120.969447,539.892340,1.553742,-89.459667
407108.950000,3289430.738607,276120.297272,539.884034,1.552730,-89.466025
407108.960000,3289430.749935,276119.625076,539.875618,1.551638,-89.472449
407108.970000,3289430.761325,276118.952860,539.867093,1.550465,-89.478938
407108.980000,3289430.772777,276118.280623,539.858458,1.549208,-89.485491
407108.990000,3289430.784290,276117.608367,539.849713,1.547866,-89.492107
407109.000000,3289430.795866,276116.936090,539.840859,1.546438,-89.498785
407109.010000,3289430.807503,276116.263793,539.831896,1.544924,-89.505524
407109.020000,3289430.819201,276115.591476,539.822825,1.543329,-89.512322
407109.030000,3289430.830959,276114.919139,539.813648,1.541656,-89.519178
407109.040000,3289430.842777,276114.246783,539.804365,1.539905,-89.526089
407109.050000,3289430.854655,276113.574407,539.794979,1.538078,-89.533053
407109.060000,3289430.866591,276112.902012,539.785490,1.536177,-89.540069
407109.070000,3289430.878585,276112.229597,539.775901,1.534203,-89.547135
407109.080000,3289430.890637,276111.557164,539.766213,1.532158,-89.554249
407109.090000,3289430.902746,276110.884711,539.756427,1.530044,-89.561409
407109.100000,3289430.914911,276110.212241,539.746545,1.527861,-89.568613
407109.110000,3289430.927133,276109.539751,539.736568,1.525612,-89.575860
407109.120000,3289430.939410,276108.867244,539.726498,1.523299,-89.583147
407109.130000,3289430.951742,276108.194718,539.716335,1.520923,-89.590473
407109.140000,3289430.964128,276107.522175,539.706083,1.518484,-89.597836
407109.150000,3289430.976568,276106.849614,539.695742,1.515986,-89.605234
407109.160000,3289430.989061,276106.177035,539.685313,1.513430,-89.612664
407109.170000,3289431.001606,276105.504439,539.674798,1.510817,-89.620126
407109.180000,3289431.014204,276104.831826,539.664199,1.508149,-89.627618
407109.190000,3289431.026854,276104.159196,539.653516,1.505427,-89.635137
407109.200000,3289431.039554,276103.486549,539.642752,1.502653,-89.642681
407109.210000,3289431.052305,276102.813885,539.631908,1.499829,-89.650249
407109.220000,3289431.065106,276102.141205,539.620986,1.496956,-89.657840
407109.230000,3289431.077956,276101.468508,539.609986,1.494035,-89.665450
407109.240000,3289431.090855,276100.795796,539.598910,1.491070,-89.673079
407109.250000,3289431.103802,276100.123067,539.587761,1.488060,-89.680724
407109.260000,3289431.116797,276099.450323,539.576538,1.485008,-89.688383
407109.270000,3289431.129839,276098.777564,539.565244,1.481915,-89.696055
407109.280000,3289431.142928,276098.104788,539.553881,1.478782,-89.703738
407109.290000,3289431.156063,276097.431998,539.542449,1.475612,-89.711430
407109.300000,3289431.169243,276096.759193,539.530950,1.472406,-89.719128
407109.310000,3289431.182468,276096.086373,539.519386,1.469166,-89.726832
407109.320000,3289431.195738,276095.413538,539.507757,1.465893,-89.734539
407109.330000,3289431.209051,276094.740688,539.496067,1.462588,-89.742248
407109.340000,3289431.222408,276094.067825,539.484315,1.459254,-89.749957
407109.350000,3289431.235807,276093.394947,539.472504,1.455892,-89.757663
407109.360000,3289431.249249,276092.722055,539.460635,1.452503,-89.765365
407109.370000,3289431.262732,276092.049150,539.448709,1.449090,-89.773061
407109.380000,3289431.276257,276091.376231,539.436728,1.445653,-89.780749
407109.390000,3289431.289822,276090.703298,539.424693,1.442194,-89.788427
407109.400000,3289431.303427,276090.030352,539.412606,1.438716,-89.796094
407109.410000,3289431.317071,276089.357393,539.400468,1.435218,-89.803748
407109.420000,3289431.330755,276088.684422,539.388282,1.431704,-89.811386
407109.430000,3289431.344476,276088.011437,539.376047,1.428175,-89.819007
407109.440000,3289431.358236,276087.338440,539.363766,1.424632,-89.826609
407109.450000,3289431.372032,276086.665431,539.351440,1.421077,-89.834190
407109.460000,3289431.385866,276085.992410,539.339071,1.417511,-89.841749
407109.470000,3289431.399735,276085.319376,539.326660,1.413936,-89.849283
407109.480000,3289431.413640,276084.646331,539.314208,1.410354,-89.856790
407109.490000,3289431.427581,276083.973274,539.301717,1.406766,-89.864269
407109.500000,3289431.441555,276083.300206,539.289189,1.403174,-89.871718
407109.510000,3289431.455564,276082.627127,539.276625,1.399580,-89.879135
407109.520000,3289431.469606,276081.954036,539.264026,1.395984,-89.886518
407109.530000,3289431.483680,276081.280935,539.251394,1.392389,-89.893866
407109.540000,3289431.497787,276080.607822,539.238731,1.388797,-89.901175
407109.550000,3289431.511926,276079.934699,539.226037,1.385208,-89.908446
407109.560000,3289431.526096,276079.261566,539.213315,1.381624,-89.915675
407109.570000,3289431.540297,276078.588423,539.200565,1.378048,-89.922860
407109.580000,3289431.554527,276077.915270,539.187790,1.374480,-89.930001
407109.590000,3289431.568788,276077.242106,539.174990,1.370922,-89.937095
407109.600000,3289431.583077,276076.568934,539.162167,1.367376,-89.944140
407109.610000,3289431.597394,276075.895751,539.149323,1.363844,-89.951134
407109.620000,3289431.611740,276075.222560,539.136460,1.360326,-89.958076
407109.630000,3289431.626113,276074.549359,539.123577,1.356825,-89.964964
407109.640000,3289431.640512,276073.876149,539.110678,1.353343,-89.971795
407109.650000,3289431.654938,276073.202931,539.097763,1.349879,-89.978568
407109.660000,3289431.669389,276072.529704,539.084835,1.346438,-89.985282
407109.670000,3289431.683866,276071.856468,539.071893,1.343019,-89.991933
407109.680000,3289431.698367,276071.183225,539.058941,1.339624,-89.998521
407109.690000,3289431.712892,276070.509973,539.045979,1.336256,-90.005044
407109.700000,3289431.727441,276069.836713,539.033009,1.332916,-90.011499
407109.710000,3289431.742012,276069.163446,539.020032,1.329605,-90.017885
407109.720000,3289431.756606,276068.490171,539.007050,1.326324,-90.024199
407109.730000,3289431.771222,276067.816889,538.994064,1.323077,-90.030441
407109.740000,3289431.785859,276067.143600,538.981076,1.319863,-90.036608
407109.750000,3289431.800517,276066.470304,538.968088,1.316685,-90.042698
407109.760000,3289431.815195,276065.797001,538.955099,1.313544,-90.048710
407109.770000,3289431.829892,276065.123691,538.942113,1.310442,-90.054641
407109.780000,3289431.844609,276064.450375,538.929131,1.307381,-90.060490
407109.790000,3289431.859344,276063.777053,538.916153,1.304362,-90.066255
407109.800000,3289431.874097,276063.103725,538.903183,1.301386,-90.071934
407109.810000,3289431.888867,276062.430390,538.890220,1.298456,-90.077525
407109.820000,3289431.903654,276061.757051,538.877266,1.295572,-90.083027
407109.830000,3289431.918458,276061.083705,538.864324,1.292737,-90.088437
407109.840000,3289431.933277,276060.410354,538.851394,1.289952,-90.093753
407109.850000,3289431.948111,276059.736998,538.838478,1.287218,-90.098974
407109.860000,3289431.962961,276059.063637,538.825577,1.284538,-90.104098
407109.870000,3289431.977824,276058.390271,538.812693,1.281913,-90.109123
407109.880000,3289431.992701,276057.716901,538.799827,1.279344,-90.114047
407109.890000,3289432.007590,276057.043526,538.786981,1.276833,-90.118869
407109.900000,3289432.022493,276056.370147,538.774156,1.274381,-90.123586
407109.910000,3289432.037407,276055.696763,538.761354,1.271991,-90.128196
407109.920000,3289432.052332,276055.023376,538.748576,1.269664,-90.132698
407109.930000,3289432.067269,276054.349985,538.735824,1.267401,-90.137090
407109.940000,3289432.082215,276053.676590,538.723099,1.265203,-90.141370
407109.950000,3289432.097171,276053.003192,538.710402,1.263074,-90.145536
407109.960000,3289432.112137,276052.329791,538.697735,1.261013,-90.149586
407109.970000,3289432.127111,276051.656387,538.685100,1.259024,-90.153519
407109.980000,3289432.142093,276050.982980,538.672498,1.257106,-90.157332
407109.990000,3289432.157082,276050.309570,538.659930,1.255263,-90.161024
