"GpsTime","Y","X","Z","Roll","Pitch","Azimuth"
407106.538330,3289429.778076,276282.119930,539.548022,-1.175980,1.975571,-90.674816
407106.543330,3289429.778243,276281.784508,539.552877,-1.158456,1.974704,-90.673695
407106.548330,3289429.778404,276281.449087,539.557713,-1.140503,1.973395,-90.672784
407106.553330,3289429.778567,276281.113664,539.562531,-1.123191,1.972313,-90.671440
407106.558330,3289429.778726,276280.778232,539.567331,-1.106964,1.972327,-90.669899
407106.563330,3289429.778870,276280.442795,539.572120,-1.089449,1.972984,-90.669027
407106.568330,3289429.779004,276280.107362,539.576899,-1.071037,1.973216,-90.667490
407106.573330,3289429.779131,276279.771930,539.581666,-1.052866,1.972999,-90.666601
407106.578331,3289429.779239,276279.436495,539.586425,-1.033392,1.973214,-90.665938
407106.583331,3289429.779335,276279.101062,539.591176,-1.013043,1.973429,-90.665276
407106.588331,3289429.779425,276278.765638,539.595915,-0.992460,1.972558,-90.664157
407106.593331,3289429.779510,276278.430216,539.600640,-0.971439,1.971469,-90.663035
407106.598331,3289429.779590,276278.094796,539.605350,-0.949959,1.969735,-90.661246
407106.603331,3289429.779675,276277.759376,539.610043,-0.929361,1.968215,-90.659679
407106.608331,3289429.779762,276277.423960,539.614718,-0.909215,1.966906,-90.658555
407106.613331,3289429.779852,276277.088544,539.619371,-0.889272,1.965822,-90.656997
407106.618331,3289429.779943,276276.753127,539.624002,-0.869119,1.964516,-90.655654
407106.623331,3289429.780036,276276.417703,539.628611,-0.849177,1.964086,-90.654106
407106.628331,3289429.780130,276276.082278,539.633197,-0.829680,1.963653,-90.652778
407106.633331,3289429.780221,276275.746852,539.637761,-0.810152,1.962576,-90.650565
407106.638331,3289429.780309,276275.411425,539.642303,-0.790398,1.961065,-90.648128
407106.643332,3289429.780399,276275.075995,539.646828,-0.771956,1.959990,-90.645697
407106.648332,3289429.780486,276274.740563,539.651333,-0.754855,1.959558,-90.644150
407106.653332,3289429.780564,276274.405129,539.655821,-0.737303,1.958694,-90.642160
407106.658332,3289429.780637,276274.069698,539.660294,-0.719531,1.956955,-90.640160
407106.663332,3289429.780707,276273.734270,539.664747,-0.702430,1.955648,-90.638602
407106.668332,3289429.780777,276273.398841,539.669175,-0.686437,1.954990,-90.637491
407106.673332,3289429.780840,276273.063418,539.673572,-0.669547,1.953028,-90.635708
407106.678332,3289429.780898,276272.727995,539.677937,-0.651754,1.950858,-90.633048
407106.683332,3289429.780954,276272.392571,539.682267,-0.634223,1.949327,-90.631708
407106.688332,3289429.781007,276272.057146,539.686562,-0.616889,1.948022,-90.629716
407106.693332,3289429.781054,276271.721723,539.690827,-0.598470,1.946277,-90.627937
407106.698332,3289429.781103,276271.386304,539.695067,-0.580458,1.943885,-90.625278
407106.703332,3289429.781152,276271.050883,539.699283,-0.563357,1.942573,-90.623724
407106.708332,3289429.781202,276270.715461,539.703469,-0.546687,1.941264,-90.621951
407106.713333,3289429.781254,276270.380044,539.707625,-0.530001,1.938646,-90.619729
407106.718333,3289429.781310,276270.044627,539.711747,-0.513323,1.936245,-90.617729
407106.723333,3289429.781370,276269.709206,539.715830,-0.497745,1.934934,-90.615958
407106.728333,3289429.781427,276269.373789,539.719876,-0.481738,1.933401,-90.614403
407106.733333,3289429.781479,276269.038376,539.723887,-0.464360,1.930791,-90.611091
407106.738333,3289429.781526,276268.702963,539.727862,-0.446771,1.928177,-90.607998
407106.743333,3289429.781571,276268.367544,539.731800,-0.429860,1.926650,-90.605571
407106.748333,3289429.781609,276268.032129,539.735699,-0.412513,1.924467,-90.603139
407106.753333,3289429.781640,276267.696719,539.739563,-0.394494,1.921630,-90.600266
407106.758333,3289429.781672,276267.361309,539.743385,-0.377139,1.919447,-90.597616
407106.763333,3289429.781700,276267.025898,539.747166,-0.360040,1.917475,-90.596063
407106.768333,3289429.781725,276266.690490,539.750908,-0.342918,1.915069,-90.593851
407106.773333,3289429.781748,276266.355090,539.754610,-0.325352,1.911570,-90.591414
407106.778334,3289429.781773,276266.019685,539.758274,-0.308201,1.908949,-90.588328
407106.783334,3289429.781792,276265.684280,539.761899,-0.290643,1.906760,-90.586119
407106.788334,3289429.781809,276265.348875,539.765483,-0.271956,1.904794,-90.582819
407106.793334,3289429.781826,276265.013477,539.769018,-0.253931,1.901514,-90.579732
407106.798334,3289429.781840,276264.678073,539.772507,-0.235886,1.898673,-90.575992
407106.803334,3289429.781849,276264.342670,539.775949,-0.217650,1.896265,-90.573129
407106.808334,3289429.781860,276264.007269,539.779346,-0.200719,1.893857,-90.570048
407106.813334,3289429.781864,276263.671868,539.782700,-0.183577,1.891665,-90.567188
407106.818334,3289429.781862,276263.336464,539.786013,-0.166202,1.889693,-90.563891
407106.823334,3289429.781859,276263.001056,539.789285,-0.149265,1.888157,-90.560596
407106.828334,3289429.781852,276262.665649,539.792513,-0.132546,1.886838,-90.557302
407106.833334,3289429.781840,276262.330237,539.795696,-0.115805,1.886394,-90.553355
407106.838334,3289429.781821,276261.994829,539.798831,-0.098635,1.884856,-90.549624
407106.843335,3289429.781793,276261.659422,539.801921,-0.080343,1.883318,-90.545019
407106.848335,3289429.781757,276261.324012,539.804971,-0.061621,1.881778,-90.540633
407106.853335,3289429.781712,276260.988597,539.807989,-0.042900,1.881111,-90.536248
407106.858335,3289429.781660,276260.653185,539.810975,-0.023763,1.880224,-90.532520
407106.863335,3289429.781603,276260.317778,539.813934,-0.003730,1.878898,-90.528136
407106.868335,3289429.781540,276259.982370,539.816870,0.016514,1.878008,-90.523970
407106.873335,3289429.781476,276259.646961,539.819779,0.036758,1.877335,-90.519805
407106.878335,3289429.781416,276259.311551,539.822658,0.056797,1.876879,-90.515203
407106.883335,3289429.781361,276258.976149,539.825506,0.076393,1.875766,-90.510820
407106.888335,3289429.781308,276258.640746,539.828325,0.096235,1.874868,-90.505563
407106.893335,3289429.781260,276258.305347,539.831116,0.115400,1.873314,-90.500963
407106.898335,3289429.781222,276257.969945,539.833882,0.133057,1.872195,-90.495707
407106.903335,3289429.781184,276257.634542,539.836622,0.150247,1.871513,-90.491324
407106.908336,3289429.781147,276257.299136,539.839334,0.167248,1.870828,-90.486067
407106.913336,3289429.781108,276256.963727,539.842019,0.184256,1.870358,-90.480591
407106.918336,3289429.781069,276256.628314,539.844679,0.201031,1.871201,-90.475548
407106.923336,3289429.781029,276256.292898,539.847312,0.217362,1.872260,-90.470723
407106.928336,3289429.780981,276255.957484,539.849919,0.234793,1.872444,-90.465682
407106.933336,3289429.780927,276255.622074,539.852501,0.253331,1.871750,-90.460208
407106.938336,3289429.780873,276255.286667,539.855061,0.272298,1.870836,-90.454953
407106.943336,3289429.780818,276254.951256,539.857599,0.291062,1.871011,-90.449256
407106.948336,3289429.780762,276254.615849,539.860114,0.310022,1.870533,-90.444218
407106.953336,3289429.780708,276254.280437,539.862598,0.329259,1.870479,-90.437429
407106.958336,3289429.780654,276253.945020,539.865055,0.348234,1.871087,-90.431947
407106.963336,3289429.780603,276253.609601,539.867487,0.366342,1.872130,-90.426245
407106.968336,3289429.780549,276253.274184,539.869892,0.385331,1.872075,-90.420330
407106.973337,3289429.780496,276252.938766,539.872277,0.404539,1.872238,-90.414414
407106.978337,3289429.780447,276252.603344,539.874643,0.422859,1.873057,-90.408930
407106.983337,3289429.780398,276252.267923,539.876990,0.441375,1.873662,-90.404104
407106.988337,3289429.780353,276251.932500,539.879319,0.461049,1.873811,-90.397313
407106.993337,3289429.780315,276251.597083,539.881625,0.480468,1.872875,-90.391624
407106.998337,3289429.780282,276251.261652,539.883914,0.499698,1.874115,-90.385042
407107.003337,3289429.780248,276250.926221,539.886203,0.519322,1.874878,-90.379989
407107.008337,3289429.780215,276250.590781,539.888448,0.538770,1.875020,-90.373417
407107.013337,3289429.780190,276250.255358,539.890675,0.558845,1.875169,-90.367719
407107.018337,3289429.780168,276249.919933,539.892887,0.578935,1.875530,-90.361581
407107.023337,3289429.780153,276249.584510,539.895084,0.598164,1.874792,-90.355018
407107.028337,3289429.780140,276249.249083,539.897272,0.617591,1.874932,-90.349101
407107.033337,3289429.780134,276248.913650,539.899451,0.636370,1.876161,-90.342953
407107.038338,3289429.780138,276248.578223,539.901617,0.653589,1.876306,-90.337693
407107.043338,3289429.780147,276248.242791,539.903771,0.671726,1.876652,-90.331117
407107.048338,3289429.780162,276247.907359,539.905908,0.690039,1.876793,-90.325856
407107.053338,3289429.780193,276247.571924,539.908031,0.706844,1.877361,-90.319934
407107.058338,3289429.780228,276247.236490,539.910144,0.724268,1.877723,-90.315107
407107.063338,3289429.780273,276246.901053,539.912248,0.741947,1.878287,-90.309185
407107.068338,3289429.780329,276246.565619,539.914345,0.758941,1.877988,-90.304148
407107.073338,3289429.780389,276246.230174,539.916441,0.776190,1.878765,-90.298003
407107.078338,3289429.780455,276245.894724,539.918533,0.793862,1.879764,-90.292293
407107.083338,3289429.780535,276245.559271,539.920624,0.810230,1.881196,-90.286357
407107.088338,3289429.780623,276245.223812,539.922714,0.826379,1.882845,-90.280418
407107.093338,3289429.780720,276244.888355,539.924803,0.842501,1.884286,-90.275356
407107.098338,3289429.780827,276244.552900,539.926886,0.858643,1.884842,-90.269651
407107.103338,3289429.780943,276244.217450,539.928963,0.875208,1.884747,-90.264392
407107.108339,3289429.781070,276243.881995,539.931037,0.891583,1.885293,-90.258250
407107.113339,3289429.781205,276243.546543,539.933106,0.907689,1.885206,-90.253647
407107.118339,3289429.781350,276243.211086,539.935169,0.924276,1.885970,-90.247719
407107.123339,3289429.781500,276242.875638,539.937228,0.940820,1.885880,-90.243117
407107.128339,3289429.781658,276242.540184,539.939279,0.956750,1.885549,-90.237207
407107.133339,3289429.781815,276242.204726,539.941328,0.973527,1.885449,-90.232167
407107.138339,3289429.781983,276241.869266,539.943374,0.990303,1.886440,-90.227109
407107.143339,3289429.782159,276241.533803,539.945413,1.006636,1.886997,-90.222277
407107.148339,3289429.782340,276241.198340,539.947451,1.023617,1.887337,-90.217667
407107.153339,3289429.782534,276240.862875,539.949486,1.040838,1.887446,-90.212406
407107.158339,3289429.782745,276240.527414,539.951513,1.056718,1.886913,-90.208030
407107.163339,3289429.782967,276240.191942,539.953531,1.072198,1.887671,-90.202538
407107.168339,3289429.783198,276239.856471,539.955542,1.088064,1.888018,-90.198583
407107.173340,3289429.783447,276239.520994,539.957542,1.103114,1.888550,-90.192876
407107.178340,3289429.783702,276239.185514,539.959534,1.117888,1.889114,-90.188917
407107.183340,3289429.783966,276238.850027,539.961519,1.132684,1.890319,-90.184289
407107.188340,3289429.784239,276238.514543,539.963499,1.147254,1.890217,-90.179906
407107.193340,3289429.784521,276238.179055,539.965482,1.162049,1.890983,-90.175287
407107.198340,3289429.784812,276237.843564,539.967468,1.176612,1.892195,-90.171095
407107.203340,3289429.785117,276237.508073,539.969452,1.190520,1.892749,-90.166917
407107.208340,3289429.785430,276237.172584,539.971437,1.205301,1.892865,-90.162748
407107.213340,3289429.785752,276236.837099,539.973419,1.220511,1.892767,-90.158803
407107.218340,3289429.786081,276236.501609,539.975403,1.236407,1.893085,-90.153973
407107.223340,3289429.786418,276236.166124,539.977387,1.252704,1.892989,-90.150246
407107.228340,3289429.786768,276235.830636,539.979373,1.268811,1.893310,-90.145635
407107.233340,3289429.787124,276235.495150,539.981363,1.285121,1.892547,-90.141485
407107.238341,3289429.787488,276235.159659,539.983359,1.301228,1.892209,-90.136888
407107.243341,3289429.787863,276234.824167,539.985354,1.316205,1.891677,-90.133390
407107.248341,3289429.788248,276234.488673,539.987352,1.331416,1.891571,-90.129444
407107.253341,3289429.788642,276234.153177,539.989356,1.346845,1.891245,-90.125504
407107.258341,3289429.789047,276233.817674,539.991365,1.362041,1.891147,-90.121995
407107.263341,3289429.789463,276233.482170,539.993374,1.377449,1.891272,-90.118700
407107.268341,3289429.789890,276233.146668,539.995378,1.393301,1.891172,-90.115192
407107.273341,3289429.790327,276232.811163,539.997380,1.409837,1.890613,-90.110820
407107.278341,3289429.790775,276232.475659,539.999383,1.426351,1.889850,-90.107110
407107.283341,3289429.791232,276232.140153,540.001391,1.443310,1.889518,-90.103170
407107.288341,3289429.791702,276231.804647,540.003400,1.459824,1.888753,-90.099459
407107.293341,3289429.792181,276231.469138,540.005414,1.476134,1.887757,-90.095318
407107.298341,3289429.792669,276231.133623,540.007432,1.491541,1.887439,-90.092034
407107.303342,3289429.793169,276230.798109,540.009448,1.506286,1.887343,-90.088963
407107.308342,3289429.793677,276230.462593,540.011466,1.521051,1.886356,-90.085259
407107.313342,3289429.794195,276230.127071,540.013489,1.535372,1.885592,-90.081769
407107.318342,3289429.794729,276229.791546,540.015513,1.548791,1.885943,-90.079123
407107.323342,3289429.795273,276229.456026,540.017536,1.562654,1.885195,-90.076289
407107.328342,3289429.795827,276229.120503,540.019565,1.577666,1.883743,-90.071724
407107.333342,3289429.796396,276228.784978,540.021598,1.591535,1.883206,-90.068665
407107.338342,3289429.796978,276228.449449,540.023630,1.604961,1.883330,-90.065807
407107.343342,3289429.797558,276228.113921,540.025666,1.620600,1.882118,-90.062111
407107.348342,3289429.798145,276227.778387,540.027711,1.636691,1.880892,-90.057979
407107.353342,3289429.798747,276227.442847,540.029764,1.650772,1.880577,-90.055133
407107.358342,3289429.799356,276227.107306,540.031825,1.665065,1.880704,-90.052493
407107.363342,3289429.799970,276226.771764,540.033901,1.680711,1.880355,-90.048555
407107.368343,3289429.800601,276226.436226,540.035988,1.695236,1.879158,-90.045516
407107.373343,3289429.801246,276226.100687,540.038087,1.708449,1.878178,-90.042472
407107.378343,3289429.801899,276225.765151,540.040198,1.722755,1.876760,-90.039440
407107.383343,3289429.802569,276225.429614,540.042320,1.736877,1.875090,-90.035323
407107.388343,3289429.803254,276225.094078,540.044452,1.749427,1.873678,-90.032511
407107.393343,3289429.803945,276224.758542,540.046592,1.762851,1.872264,-90.029700
407107.398343,3289429.804647,276224.423007,540.048737,1.776542,1.869493,-90.025399
407107.403343,3289429.805362,276224.087464,540.050888,1.788449,1.867409,-90.022171
407107.408342,3289429.806084,276223.751915,540.053046,1.800125,1.866431,-90.019346
407107.413342,3289429.806817,276223.416371,540.055211,1.811151,1.864790,-90.016324
407107.418342,3289429.807561,276223.080823,540.057385,1.821768,1.862684,-90.012442
407107.423342,3289429.808311,276222.745271,540.059567,1.832773,1.861282,-90.010069
407107.428342,3289429.809075,276222.409717,540.061754,1.844468,1.859406,-90.006618
407107.433343,3289429.809854,276222.074166,540.063941,1.855726,1.856657,-90.003195
407107.438343,3289429.810644,276221.738607,540.066132,1.867422,1.855217,-89.999730
407107.443343,3289429.811444,276221.403045,540.068319,1.878884,1.853791,-89.996703
407107.448343,3289429.812253,276221.067486,540.070498,1.890805,1.851469,-89.993049
407107.453343,3289429.813073,276220.731929,540.072669,1.902724,1.848273,-89.989425
407107.458343,3289429.813904,276220.396367,540.074831,1.913339,1.845287,-89.985575
407107.463343,3289429.814739,276220.060803,540.076990,1.924376,1.842533,-89.982155
407107.468343,3289429.815580,276219.725233,540.079146,1.935423,1.841082,-89.978474
407107.473343,3289429.816430,276219.389663,540.081299,1.946031,1.839412,-89.974800
407107.478343,3289429.817286,276219.054092,540.083449,1.956633,1.837748,-89.971345
407107.483343,3289429.818145,276218.718521,540.085594,1.967897,1.835640,-89.967687
407107.488343,3289429.819015,276218.382955,540.087731,1.979166,1.832868,-89.963833
407107.493343,3289429.819894,276218.047387,540.089864,1.990224,1.829869,-89.959768
407107.498343,3289429.820776,276217.711814,540.091992,2.001719,1.827307,-89.955690
407107.503344,3289429.821665,276217.376239,540.094116,2.013652,1.825180,-89.951596
407107.508344,3289429.822567,276217.040664,540.096233,2.024484,1.822842,-89.947729
407107.513344,3289429.823475,276216.705088,540.098346,2.035316,1.820066,-89.943878
407107.518344,3289429.824390,276216.369513,540.100464,2.046817,1.817492,-89.939582
407107.523344,3289429.825320,276216.033943,540.102587,2.057649,1.814933,-89.935724
407107.528344,3289429.826261,276215.698372,540.104718,2.068487,1.812366,-89.931648
407107.533344,3289429.827211,276215.362802,540.106853,2.079537,1.809806,-89.927792
407107.538344,3289429.828176,276215.027236,540.108986,2.090818,1.806574,-89.923522
407107.543344,3289429.829155,276214.691674,540.111114,2.101872,1.802693,-89.919496
407107.548344,3289429.830145,276214.356108,540.113236,2.113385,1.799225,-89.914798
407107.553344,3289429.831149,276214.020542,540.115349,2.124433,1.796006,-89.910968
407107.558344,3289429.832168,276213.684976,540.117453,2.134401,1.792552,-89.906709
407107.563344,3289429.833194,276213.349409,540.119554,2.144581,1.788888,-89.902677
407107.568345,3289429.834232,276213.013836,540.121650,2.154569,1.785408,-89.897764
407107.573345,3289429.835285,276212.678261,540.123741,2.162795,1.782162,-89.893280
407107.578345,3289429.836350,276212.342683,540.125826,2.170353,1.780024,-89.889192
407107.583345,3289429.837426,276212.007103,540.127903,2.177931,1.777205,-89.884474
407107.588345,3289429.838515,276211.671524,540.129966,2.184844,1.773521,-89.880008
407107.593345,3289429.839612,276211.335942,540.132015,2.192182,1.770726,-89.875946
407107.598345,3289429.840722,276211.000361,540.134049,2.199520,1.767931,-89.871885
407107.603345,3289429.841845,276210.664781,540.136069,2.207109,1.764219,-89.866765
407107.608345,3289429.842973,276210.329197,540.138078,2.215559,1.761179,-89.862057
407107.613345,3289429.844111,276209.993608,540.140075,2.224003,1.759021,-89.857534
407107.618345,3289429.845259,276209.658022,540.142063,2.232220,1.756215,-89.853256
407107.623345,3289429.846410,276209.322433,540.144045,2.241114,1.753601,-89.848314
407107.628345,3289429.847573,276208.986847,540.146022,2.249126,1.750340,-89.843616
407107.633346,3289429.848750,276208.651259,540.147996,2.256263,1.747514,-89.838902
407107.638346,3289429.849937,276208.315670,540.149965,2.263163,1.745588,-89.834809
407107.643346,3289429.851142,276207.980086,540.151929,2.269188,1.742788,-89.830751
407107.648346,3289429.852357,276207.644506,540.153888,2.275661,1.738441,-89.826317
407107.653346,3289429.853583,276207.308921,540.155845,2.282778,1.735859,-89.822251
407107.658346,3289429.854828,276206.973338,540.157796,2.289021,1.733712,-89.818168
407107.663346,3289429.856087,276206.637762,540.159743,2.295513,1.729774,-89.813063
407107.668346,3289429.857358,276206.302182,540.161689,2.302893,1.726037,-89.807512
407107.673346,3289429.858646,276205.966601,540.163633,2.309352,1.722797,-89.803474
407107.678346,3289429.859949,276205.631019,540.165568,2.314739,1.719312,-89.798789
407107.683346,3289429.861255,276205.295440,540.167497,2.321434,1.714735,-89.794149
407107.688346,3289429.862574,276204.959850,540.169417,2.328138,1.711677,-89.789228
407107.693346,3289429.863911,276204.624257,540.171320,2.333261,1.709781,-89.786012
407107.698347,3289429.865255,276204.288662,540.173209,2.339734,1.707831,-89.781485
407107.703347,3289429.866602,276203.953071,540.175081,2.348410,1.704326,-89.776365
407107.708347,3289429.867961,276203.617478,540.176944,2.357523,1.701256,-89.771228
407107.713347,3289429.869328,276203.281880,540.178808,2.367274,1.699523,-89.766693
407107.718347,3289429.870699,276202.946286,540.180671,2.378348,1.696898,-89.761757
